Subject,Ctlg #,Sect,Title,Fac Id,Mtg Start,Mtg End,Mtg Ptrn,Instructor
CS, 646,01,Computer Communication Networks,M01-0213,11:00AM,12:15PM,TuTh,Bo Sheng
CS, 651,01,Compiler,W01-0004,04:00PM,05:15PM,TuTh,Swaminathan Raghunathan Iyer
CS, 670,01,Artificial Intelligence,Y02-2310,04:00PM,05:15PM,TuTh,Wei Ding
CS, 680,01,Object-Oriented Design and Programming,Y02-2330,07:00PM,08:15PM,TuTh,Junichi Suzuki
CS, 681,01,Object-Oriented Software Development,Y02-2330,05:30PM,06:45PM,TuTh,Junichi Suzuki
CS, 682,01,Software Development Laboratory I,W02-0158,07:00PM,08:15PM,TuTh,Kenneth Kofi Fletcher
CS, 696,01,Independent Study, ,,,TBA,Daniel Felix Haehn
CS, 696,02,Independent Study, ,,,TBA,Dan Simovici
CS, 696,03,Independent Study, ,,,TBA,Bo Sheng
CS, 696,04,Independent Study, ,,,TBA,Nurit Haspel
CS, 696,05,Independent Study, ,,,TBA,Xiaohui Liang
CS, 696,06,Independent Study, ,,,TBA,Marc Pomplun
CS, 696,07,Independent Study, ,,,TBA,Tiago Soares Cogumbreiro Garcia
CS, 696,08,Independent Study, ,,,TBA,Stephen T Chang
CS, 696,09,Independent Study, ,,,TBA, 
CS, 696,10,Independent Study, ,,,TBA, 
CS, 697,01,Special Topics,REMOTE,07:00PM,08:15PM,MW,Cristina Ileana Maier
CS, 698,01,Practicum in CS, ,,,TBA,Daniel Felix Haehn
CS, 698,02,Practicum in CS, ,,,TBA,Ozgun Babur
CS, 698,03,Practicum in CS, ,,,TBA,Wei Ding
CS, 698,04,Practicum in CS, ,,,TBA,Xiaohui Liang
CS, 698,05,Practicum in CS, ,,,TBA, 
CS, 699,01,Research for MS Thesis, ,,,TBA,Daniel Felix Haehn
CS, 699,02,Research for MS Thesis, ,,,TBA, 
CS, 699,03,Research for MS Thesis, ,,,TBA, 
CS, 699,04,Research for MS Thesis, ,,,TBA, 
CS, 899,01,PhD Dissertation Research, ,,,TBA,Daniel Felix Haehn
CS, 899,02,PhD Dissertation Research, ,,,TBA,Bo Sheng
CS, 899,03,PhD Dissertation Research, ,,,TBA,Tiago Soares Cogumbreiro Garcia
CS, 899,04,PhD Dissertation Research, ,,,TBA,Nurit Haspel
CS, 899,05,PhD Dissertation Research, ,,,TBA,Wei Ding
CS, 899,06,PhD Dissertation Research, ,,,TBA,Dan Simovici
CS, 899,07,PhD Dissertation Research, ,,,TBA,Marc Pomplun
CS, 899,08,PhD Dissertation Research, ,,,TBA,Duc Tran
CS, 899,09,PhD Dissertation Research, ,,,TBA,Ping Chen
CS, 899,10,PhD Dissertation Research, ,,,TBA,Xiaohui Liang
CS, 899,11,PhD Dissertation Research, ,,,TBA,Honggang Zhang
IT, 110,11,Information Technology Problem Solving,M01-0212,02:00PM,02:50PM,MWF,Christopher Grant Kelly
IT, 110,12,Information Technology Problem Solving,M03-0730,05:30PM,06:45PM,MW,Temitayo Banjo
IT, 110,13,Information Technology Problem Solving,M03-0730,02:00PM,03:15PM,TuTh,Temitayo Banjo
IT, 111L,03,Managerial Statistics,M01-0409,05:30PM,08:15PM,M,Management Faculty
IT, 111L,04,Managerial Statistics,M01-0409,08:00AM,09:15AM,MW,Management Faculty
IT, 114L,11,Introduction To Java,M01-0619,12:00PM,12:50PM,MWF,Christopher Grant Kelly
IT, 116,11,Introduction to Scripting,M01-0213,02:00PM,03:15PM,TuTh,Glenn Alfred Hoffman
IT, 117,11,Intermediate Scripting,W01-0006,04:00PM,05:15PM,TuTh,Glenn Alfred Hoffman
IT, 221,01,Computer Forensics II,M01-0617,05:30PM,08:15PM,Tu,Management Faculty
IT, 230L,01,Relational Databases,H04-0031,04:00PM,05:15PM,TuTh,Management Faculty
IT, 230L,02,Relational Databases,ON-LINE,,,TBA,Management Faculty
IT, 240,01,Web Fluency,Y04-4160,05:30PM,08:15PM,W,Management Faculty
IT, 240,02,Web Fluency,W02-0198,04:00PM,05:15PM,TuTh,Management Faculty
IT, 244,11,Introduction to Linux/Unix,M03-0407,11:00AM,12:15PM,TuTh,Glenn Alfred Hoffman
IT, 244,12,Introduction to Linux/Unix,M03-0730,04:00PM,05:15PM,MW,Temitayo Banjo
IT, 246,01,Introduction to Networks,ON-LINE,,,TBA,Management Faculty
IT, 246,11,Introduction to Networks,M03-0730,12:30PM,01:45PM,TuTh,Temitayo Banjo
IT, 285L,11,Social Issues and Ethics in Computing,M01-0213,12:30PM,01:45PM,TuTh,Amanda Potasznik
IT, 285L,12,Social Issues and Ethics in Computing,M01-0213,04:00PM,05:15PM,TuTh,Amanda Potasznik
IT, 285L,13,Social Issues and Ethics in Computing,M02-0404,05:30PM,06:45PM,TuTh,Amanda Potasznik
IT, 285L,14,Social Issues and Ethics in Computing,M01-0614,11:00AM,12:15PM,TuTh,Amanda Potasznik
IT, 341,11,Introduction to System Administration,M03-0730,05:30PM,06:45PM,MW,Christopher Grant Kelly
IT, 341,12,Introduction to System Administration,M03-0730,11:00AM,11:50AM,MWF,Christopher Grant Kelly
IT, 360,01,Enterprise Software,H04-0031,11:00AM,12:15PM,TuTh,Management Faculty
IT, 370,01,Introduction to Analytics,ON-LINE,,,TBA,Management Faculty
IT, 370,02,Introduction to Analytics,W02-0198,05:30PM,08:15PM,M,Management Faculty
IT, 370,03,Introduction to Analytics,ON-LINE,,,TBA,Management Faculty
IT, 421,01,Digital Forensics/Malware Analysis,M02-0208,05:30PM,08:15PM,M,Management Faculty
IT, 425L,01,Project Management,M01-0428,04:00PM,05:15PM,MW,Management Faculty
IT, 425L,02,Project Management,M01-0409,05:30PM,08:15PM,W,Management Faculty
IT, 428L,01,Information System Security,M01-0428,05:30PM,08:15PM,Tu,Management Faculty
IT, 442,12,Windows System Administration,W01-0009,05:30PM,06:45PM,TuTh,Torna Omar Soro
IT, 443,11,Network Security Administration I,Y04-4170,02:00PM,03:15PM,TuTh,Torna Omar Soro
IT, 443,12,Network Security Administration I,W01-0009,07:00PM,08:15PM,TuTh,Torna Omar Soro
IT, 444,11,Network Security Administration II,Y04-4110,07:00PM,08:15PM,TuTh,Simon Tran
IT, 456,01,Information Storage and Management,ON-LINE,,,TBA,Management Faculty
IT, 471,01,Data Warehousing for Business Intelligence,M01-0608,05:30PM,08:15PM,Th,Management Faculty
IT, 471,02,Data Warehousing for Business Intelligence,M02-0420,05:30PM,08:15PM,Tu,Management Faculty
IT, 485,11,Information Technology Capstone,M01-0608,05:30PM,06:45PM,MW,Simon Tran
IT, 485,12,Information Technology Capstone,Y04-4110,05:30PM,06:45PM,TuTh,Simon Tran
